ID,Type,Name,Link
1,Lentils,Apricot Lentil Soup,http://allrecipes.com/recipe/12979/apricot-lentil-soup/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%2011
2,Beef,Beef Bulgogi,http://allrecipes.com/recipe/100606/beef-bulgogi/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202
3,Chicken,Crispy Herb Baked Chicken,http://allrecipes.com/recipe/8509/crispy-herb-baked-chicken/?clickId=right%20rail%204&internalSource=rr_feed_recipe&referringId=8509&referringContentType=recipe
4,Pasta,Fettuccini Carbonara,http://allrecipes.com/recipe/42585/fettuccini-carbonara/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%204
5,Chicken,Grilled Rosemary Chicken Breasts,http://allrecipes.com/recipe/233546/grilled-rosemary-chicken-breasts/?clickId=right%20rail%201&internalSource=rr_feed_recipe&referringId=233546&referringContentType=recipe
6,Fish,Grilled Salmon,http://allrecipes.com/recipe/12720/grilled-salmon-i/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%203
7,Fish,Grilled Shrimp Scampi,http://allrecipes.com/recipe/12771/grilled-shrimp-scampi/?clickId=right%20rail%202&internalSource=rr_feed_recipe&referringId=12771&referringContentType=recipe
8,Lentils,Mexican Bean Salad,http://allrecipes.com/recipe/14169/mexican-bean-salad/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202
9,Pasta,Mushroom Orzo,http://allrecipes.com/recipe/85426/mushroom-orzo/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%204
10,Pork,Pork Dumplings,http://allrecipes.com/recipe/14759/pork-dumplings/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%205
11,Pork,Slow Cooker Beer Pulled Pork,http://allrecipes.com/recipe/235950/slow-cooker-beer-pulled-pork/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%2015
12,Beef,Slow Cooker Roast Beef,http://allrecipes.com/recipe/22228/slow-cooker-roast-beef/?clickId=right%20rail%203&internalSource=rr_feed_recipe&referringId=22228&referringContentType=recipe
13,Vegetables,Spinach and Strawberry Salad,http://allrecipes.com/recipe/16409/spinach-and-strawberry-salad/?internalSource=user%20pref&referringContentType=home%20page&clickId=cardslot%203
14,Vegetables,Vegetarian Korma,http://allrecipes.com/recipe/60598/vegetarian-korma/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202
